;class;question
1199;ORG;How many days to study aerospace faculty , rd? 
1200;ENTER;Hello, when comes to you after College, you can choose a faculty only is similar to what I studied in College, or you can choose another? 
1201;ORG;What time tomorrow does the enrolment Board ? 
1202;DOC;Tell me when the end of reception of the originals on the 2nd wave? 
1203;ORG;Good afternoon. 7.08.18 tell me where and what time I come with a receipt for admission to the correspondence? 
1204;ORG;Students of some faculties are taught in the main building? 
1205;HOST;Is the hostel for those who live in Perm? 
1206;DOC;Applications for full-time training no longer accept? 
1207;RANG;When will the lists of enrolled in the correspondence Department of chemical technology? 
1208;ORG;if you not yet 18 years old need to be RM. 151 (main building)to get up for military service? 
1209;DOC;Submission of applications in the correspondence Department, August 6, inclusive? 
1210;RANG;on the first wave get 80% of the applicants, should be considered already with the CPC, CPU, MIC or without? 
1211;RANG;On which column in the lists to see your room ?end-to-end? or ?in the competition?? 
1212;ENTER;I applied to three focus on full-time form, and have passed the entrance,but did not pass points. Can I go to zaochno the form of training, not to pass the entrance if you didn't apply for extramural studies? 
1213;RANG;Hello! What time 06.08.2018 g. the results will be known the outcome of the enrollment in the second wave (MTF)? On Your website on this issue have not found the answer! Thanks in advance! 
1214;ORG;Where to go to get up for military service? What you need to bring? And when can I come by? 
1215;DOC;Good afternoon. Did not have time to apply for admission to correspondence form of training. In connection with the absence in the city. Prompt submission of applications only until August 3 was carried out? Sincerely, Alexander. 
1216;ORG;Should parents be present when signing the contract? Or my grandma ( she is paying ) 
1217;ENTER;This year I learned a bachelor's degree in the direction of the TMO in BB pnrpu. If I would apply for admission to the master's degree in the same direction 15.04.02 Technological machines and equipment (TMO) that I need to pass the entrance examination in a General manner? Or I can get the results of my STATE exam? 
1218;ORG;If in the course of training, I transferred to another University with the military Department, for example wean 1 and 2 course in pnrpu, and 3 and 4 course in the University with the military Department,I was drafted into the army? 
1219;ENTER;Hello. Can't find this information. After grade 9 there are specialties? 
1220;ENTER;Please tell me how much budgetary places in the construction Department. Given in the tables different? 98 (-6) or still 87? 
1221;ORG;Where can I find a list of items that will be taught in University? 
1222;DOC;Is it possible instead of a certificate of vaccination to provide immunization card? 
1223;ORG;Tell me how many days in a week to study full-time study? 
1224;ORG;Good afternoon. Please tell me when will be admission to the faculty of Humanities, direction linguistics under contract? 
1225;ORG;What time and where today the enrollment in the linguistics? 
1226;ENTER;Can I transfer from BF to Perm with TNV on TNV after the first year?If I need to take any exams and get your record book in translation? 
1227;RANG;How many points for the exam must have to get the Governor's scholarship in the direction of the Economy? 
1228;RANG;What number to keep track of their sequence in the list, through or in competition? 
1229;ENTER;How to restore at the electrotechnical faculty in distance learning? Where and when to apply? So the correspondence Department is not responding. 
1230;ORG;And admissions and accounting departments work on Saturday ? 
1231;HOST;The hostel will have to pay on the books? If Yes, then from what she is working on weekdays, what the audience is and whether you can pay the residence before 27 Aug? 
1232;ORG;Whether you take to learn with a criminal record? 
1233;ORG;What months study on zaochke Gorodetskogo and the building Department begins 1 course? in 2018-2019 
1234;ENTER;Please tell me can I with aerospace Department to pick up the originals and deliver the mining and oil? The statement I submitted there 
1235;ORG;when writing an application to receive the Governor's scholarship? 
1236;HOST;On admission gave no statements to the hostel, just ask whether. As it should be and when check? 
1237;ORG;Forgot to come in 151 office (reservist). When you go back? 
1238;ORG;And the Governor's scholarship is paid to those who contract learning?and whether all faculties give the scholarship 
1239;ORG;Does bookkeeping on Saturdays ? And can I pay by card? 
1240;ENTER;Hello. Would it be possible to transfer from 2nd year correspondence? 
1241;ENTER;can I pick up the documents from the Berezniki branch and submit them to the Perm branch? 
1242;ORG;Hello. Scholarships are paid only to those who learn on a budget? 
1243;ORG;how much is the admission to a degree so mon? 
1244;ENTER;Is it possible after 2 courses go to zaochku as you receive a pension for loss of breadwinner? 
1245;RANG;Yesterday I applied for a correspondence course, faculty of construction, and the list still does not appear, there may be a delay of some kind? 
1246;ORG;If I was on a budget, but want to come and execute the contract, if it turns out I do 2 August or later? My place is not lost ? 
1247;RANG;If only 23 of budget places, and I'm 21 (on the original), I don't get on wave 1? 
1248;RANG;Good afternoon, tell me what time tomorrow there will be a list of enrollment? 
1249;DOC;In the admissions office I was told that the originals of the advertising and public relations are collected on enrollment on August 3rd. Question: why is the 2 August has already started to collect the originals? 
1250;DOC;Good afternoon. To what number must hand over the original documents correspondence (contract)? 
1251;DOC;If you have already applied to master's without the original, can now (02.08.2018) to convey? 
1252;ORG;Hello, have paying students enrollment takes place in different days, am I right? I can see that already 3 number. I can draw up a contract and pay before 20 August? 
1253;ENTER;When you can come and take examination leaves? 
1254;ORG;and what must be on enrollment?ate of the 15 funded places I'm 18th if I should come or not? 
1255;DOC;Consent. If you did not get in the first wave,today you can come and write a statement? 
1256;RANG;And that priority for admission-the results of internal examinations or the results of the exam?I read that some universities are adding a number of budget places for admission for the exam.Here is there? 
1257;DOC;Hello. Want to know when you need to write the application for admission? 
1258;PRIV;If the directions will be shortage, it will submit the originals to these areas, if not filed at all? If you can then how and when to do it? 
1259;DOC;Will give you the originals, if in the column Under the condition of non-funded places you agree to participate in the competition for places under contracts on rendering of paid educational services put a tick? And where and when they can be taken away? (Chemical technology) 
1260;DOC;Hello, you can add honey.help during the day or only during enrollment? 
1261;RANG;If 3 Aug already released the order to enrolled in 1 wave, then how can man come in the 2nd wave, that is, after August 3, to oust a person from the list held in 1 wave? 
1262;ORG;If accepted, the August 2 will come some applicants? 
1263;ORG;Do you offer deferment of admission after school? 
1264;ORG;Good day! Is there a deferment from the army? 
1265;DOC;Whether you want to carry photographs, if in the Commission of them were put 6 PCs? 
1266;ORG;Good day! Is there a military Department (military training), or a deferment from the army? 
1267;DOC;Hello. I'm not in the 1 wave and would like to take my original certificate. 1) if I have the opportunity? 2) Where can I get it? 
1268;ORG;How do I know whether the Dean signed my contract on paid training? 
1269;ORG;Does the selection Committee 5 August (Sunday)? If so, on time. Thank you! 
1270;DOC;the first wave hit in enrollment,but want to pick up the original. you can pick up the original 2nd number of pnrpu? 
1271;ORG;Hello! When to arrive for admission,if the agreement to pay tuition is still not signed? 
1272;ORG;How can I divide the fees? Is there any installment plan? 
1273;ORG;What time Tomorrow for the enrollment in road facucet to come? 
1274;ORG;And admission be sure to carry a copy of the VAT or you can bring the original? 
1275;ORG;If the number of originals I 9,need tomorrow to come for admission? 
1276;RANG;When will the lists of enrollees in the first wave? 
1277;RANG;To whom time will be updated? 
1278;ORG;After payment of the contract 100% enrolled or not ? 
1279;RANG;Why on the first wave of enrollment already in 19h continue to update the lists? The documents were supposed to take up to 18h,why continue в19ч new people to enroll? 
1280;ORG;If you brought the original, but after the contract, when enrollment? 
1281;RANG;When will the list of students enrolled? 
1282;ORG;Until what time can bring the original copy of the certificate and to write the application for admission to the training contract to full-time and part-time? 
1283;PRIV;How does the + in the column allowance/benefit? 
1284;DOC;Hello, if you do not bring the original documents in the first wave, if you can bring them in the second wave? 
1285;ENTER;How is the delivery of an interdisciplinary exam at the masters? This is a private test in the options response to either pull a ticket and sit write a detailed answer? Very worried! 
1286;ORG;To what number you need to pay your tuition at this University ? 
1287;RANG;If 20 budget places and I'm 18 then I get in the first wave of enrollment? 
1288;RANG;Written 70 funded places on chemical engineering, this is 80% of the first wave? 
1289;RANG;If credited in the first wave of 80% of all applicants, and for example, the number of turns 15.2, it is rounded up? 
1290;RANG;How often today will update the lists? 
1291;RANG;Hello, please tell me if the direction filed 21 original. Of these, 4 defense and 1 man a COP, but they have already enrolled. remains of 16 people with the originals (along with me). if I get in wave 1 or not? Just if you assume that the 16 people have to get to 1 wave, and the second 4 people left. 
1292;RANG;good afternoon. If 1 wave passing the budget, all the seats are occupied with the originals, will there be a second wave? 
1293;ORG;For how many hours to arrive at the enrollment 02.08.18? Napralenie 10.05.03 - Information security of automated systems. 
1294;RANG;In the master there are 2 wave reception? 
1295;RANG;Good afternoon. Please tell me the admission to paid training (University,Economics) 03.08.2018 will be held only for those who have already paid under the contract? And for those who passed the original but didn't pay the admission will be on other days only after payment? 
1296;ORG;If the second wave will bring the documents with scores higher than me, I may not pass on competition? And when exactly will already know you were accepted or not 
1297;DOC;until what time can pick up the original ,if decided to try to pass it to another University in the second wave? 
1298;ORG;Hello, when, how much and where to go for sevilene on the direction of information security of automated systems? 
1299;ORG;Good day! I have a contract , but not yet paid. I need to be for admission 2.08.2018 or 1.08.2018? 
1300;ORG;What if enrollment not to bring INN?I'm afraid that will not have time to do it. I have already signed a contract and paid for the study. 
1301;DOC;what to do if the original certificate is in another city, and there I'm not in the competition? Is it possible to bring the originals in the second wave? 
1302;ENTER;How late today will work for admissions so? 
1303;RANG;Hello! And what will happen if the budget places on direction 20, and the originals will be handed over only 10? 
1304;ORG;If I was not evidence, and the notice on statement on the account in tax body of physical persons at the place of residence, it is suitable for enrollment? 
1305;RANG;Hello. In the rating you need to look through a room or number in the competition? 
1306;ORG;if I sign the consent on admission, being in last place in the list on the budget, but then after me comes a man in the same profession and with a score higher than mine, you about it learn to 6 PM, to be translated into another direction? should I call You or You report to? 
1307;ENTER;Hello! Please tell me how much you need correct answers in order to score the minimum number of points on the physics of the internal exam? in Russian language? 
1308;DOC;Is it possible to submit original documents today 01.08.2018 year? 
1309;ORG;When you receive scholarships from it will be deducted or tax this is the amount with tax, for example, to the Governor's? 
1310;HOST;Hello, how can you abandon the hostel? 
1311;ORG;For example, the original documents served on a specialty in the second wave, but at the end of the second wave on the budget do not do, is it possible to do on a budget in a different specialty? 
1312;DOC;Can my parent take the original without me and give it to another direction? Since they are in another city and have no possibility 
1313;ORG;if I'm the last in the list on the budget and tomorrow will sign the consent on admission, but after me will come someone(original) with big points, will I be able to transfer to another Department, which was submitted before, but without the original? 
1314;DOC;you can bring the original on 1 August?when you can bring the original in order to pass the 2nd wave? 
1315;DOC;If I have already submitted the original to what number necessary to bring all the other documents? Do I need to present when enrolling? If so, when and how much? (Tchaikovsky Faculty). 
1316;DOC;Do you need pictures if I have filed several areas(each for 2) and in total I have about 4-6 in Polytech? 
1317;ORG;Hello! I want to go with TNV (BB pnrpu) in chemical technology at the head of the Institute where I will go? On the overall profile or on TNV?(After first semester) 
1318;ORG;GOOD AFTERNOON. YOU CAN FIND OUT WHEN AND WHERE IT WILL BE CREDITED TO THE SPECIALTY OF ATPP? 
1319;ORG;Admission is held in the main building? 
1320;ORG;Do I need to bring any documents for enrollment? 
1321;DOC;Good evening. Please tell me if I can convey was later(August 3), and the rest of the documents tomorrow(August 1)? If I enrolled in such a case? thanks for the reply. 
1322;ORG;The Governor's scholarship from how many points? 
1323;ORG;If I enrolled in the first wave,but I decide to move the original to another Department on the second wave of enrollment,how long is the treatment allocations? 
1324;HOST;Who should I contact to get a hostel for 1 and 2 August? 
1325;ORG;The guys who are studying in the direction of the chemical technology, all classes are held at the complex? 
1326;RANG;why in 1 hour and submitted the original documents, but still in the list of persons who filed the original is not affected? It lists should be updated every 15 minutes 
1327;ENTER;Did not answer my question. 1. If the internal exam 15 correctly solved tasks is 100 points. How to understand 36 points, in what direction is rounded? 2. what colleges in Perm there is an agreement on accreditation in order after College to continue their education at pnrpu not 1, but 2-3 courses? 
1328;RANG;Please tell me when will the list of who is enrolled and when to come for admission? 
1329;ORG;Hello I have a question. Is it possible to transfer from the second year of full-time offices part-time with the preservation of the course? They do not start with 1 courses to transfer to the second correspondence. 
1330;ENTER;How to do Polytechnic for extramural studies, if finished 9th grade, and no diploma SPO? 
1331;ORG;Hello, I saw in the section on the website PNRPU What profession to choose the profession of engineer-economist in the field of innovation. In this section it was said that to qualify for this profession you need to study at the Humanitarian faculty profile-the Economics of innovation. But in General tables, such direction is not. Tell me, please, whether the direction, if not - then is it possible to get this profession on another faculty, PNRPU? 
1332;PRIV;Good day, tell me I finished school in 1999, CSE, accordingly, did not pass, how can enter the Oil and gas business? Are a combat veteran, whether this status when you receive some credit for entering? 
1333;ENTER;Can I enroll in the correspondence Department? 
1334;ORG;Hello!Does your University military Department?If Yes,which ones and what a passing grade was in 2018? 
1335;ORG;Is it possible to take a leave of absence in connection with the loss of a close relative? 
1336;ORG;Good evening! Please tell me when will the open day for school children? 
1337;ORG;Good day! You when will the open day? 
1338;RANG;Good evening, please tell me the minimum passing score on the mathematics profile in order to enroll in the personnel management by correspondence? 
1339;ORG;Good evening, can I study in the same faculty for 2 specialties in parallel?(at the same time) 
1340;ENTER;Good day, can I come to you after grade 9? 
1341;ORG;When the open day? 
